game_id,event_id,home_win_prob
PHI200407060,1,0.5
PHI200407060,2,0.52
PHI200407060,3,0.54
PHI200407060,4,0.53
PHI200407060,5,0.55
PHI200407060,6,0.53
PHI200407060,7,0.51
PHI200407060,8,0.5
PHI200407060,9,0.52
PHI200407060,10,0.48
PHI200407060,11,0.52
PHI200407060,12,0.51
PHI200407060,13,0.55
PHI200407060,14,0.53
PHI200407060,15,0.51
PHI200407060,16,0.5
PHI200407060,17,0.52
PHI200407060,18,0.49
PHI200407060,19,0.51
PHI200407060,20,0.4
PHI200407060,21,0.45
PHI200407060,22,0.49
PHI200407060,23,0.61
PHI200407060,24,0.6
PHI200407060,25,0.54
PHI200407060,26,0.5
PHI200407060,27,0.53
PHI200407060,28,0.5
PHI200407060,29,0.46
PHI200407060,30,0.51
PHI200407060,31,0.56
PHI200407060,32,0.53
PHI200407060,33,0.56
PHI200407060,34,0.6
PHI200407060,35,0.68
PHI200407060,36,0.59
PHI200407060,37,0.5
PHI200407060,38,0.45
PHI200407060,39,0.34
PHI200407060,40,0.35
PHI200407060,41,0.26
PHI200407060,42,0.28
PHI200407060,43,0.27
PHI200407060,44,0.26
PHI200407060,45,0.24
PHI200407060,46,0.3
PHI200407060,47,0.26
PHI200407060,48,0.3
PHI200407060,49,0.26
PHI200407060,50,0.23
PHI200407060,51,0.2
PHI200407060,52,0.17
PHI200407060,53,0.12
PHI200407060,54,0.15
PHI200407060,55,0.17
PHI200407060,56,0.14
PHI200407060,57,0.12
PHI200407060,58,0.11
PHI200407060,59,0.1
PHI200407060,60,0.12
PHI200407060,61,0.13
PHI200407060,62,0.14
PHI200407060,63,0.11
PHI200407060,64,0.14
PHI200407060,65,0.07
PHI200407060,66,0.08
PHI200407060,67,0.09
PHI200407060,68,0.1
PHI200407060,69,0.15
PHI200407060,70,0.09
PHI200407060,71,0.16
PHI200407060,72,0.09
PHI200407060,73,0.04
PHI200407060,74,0.04
PHI200407060,75,0.05
PHI200407060,76,0.05
PHI200407060,77,0.02
PHI200407060,78,0.05
PHI200407060,79,0.02
PHI200407060,80,0.05
BOS202209140,1,0.5
BOS202209140,2,0.52
BOS202209140,3,0.54
BOS202209140,4,0.53
BOS202209140,5,0.55
BOS202209140,6,0.53
BOS202209140,7,0.51
BOS202209140,8,0.5
BOS202209140,9,0.52
BOS202209140,10,0.54
BOS202209140,11,0.55
BOS202209140,12,0.61
BOS202209140,13,0.64
BOS202209140,14,0.59
BOS202209140,15,0.54
BOS202209140,16,0.5
BOS202209140,17,0.52
BOS202209140,18,0.54
BOS202209140,19,0.53
BOS202209140,20,0.56
BOS202209140,21,0.53
BOS202209140,22,0.51
BOS202209140,23,0.5
BOS202209140,24,0.46
BOS202209140,25,0.49
BOS202209140,26,0.46
BOS202209140,27,0.4
BOS202209140,28,0.49
BOS202209140,29,0.56
BOS202209140,30,0.53
BOS202209140,31,0.51
BOS202209140,32,0.5
BOS202209140,33,0.53
BOS202209140,34,0.5
BOS202209140,35,0.45
BOS202209140,36,0.5
BOS202209140,37,0.19
BOS202209140,38,0.18
BOS202209140,39,0.2
BOS202209140,40,0.23
BOS202209140,41,0.19
BOS202209140,42,0.16
BOS202209140,43,0.26
BOS202209140,44,0.22
BOS202209140,45,0.19
BOS202209140,46,0.18
BOS202209140,47,0.21
BOS202209140,48,0.12
BOS202209140,49,0.14
BOS202209140,50,0.16
BOS202209140,51,0.21
BOS202209140,52,0.16
BOS202209140,53,0.14
BOS202209140,54,0.11
BOS202209140,55,0.11
BOS202209140,56,0.12
BOS202209140,57,0.13
BOS202209140,58,0.1
BOS202209140,59,0.08
BOS202209140,60,0.07
BOS202209140,61,0.08
BOS202209140,62,0.08
BOS202209140,63,0.06
BOS202209140,64,0.06
BOS202209140,65,0.08
BOS202209140,66,0.09
BOS202209140,67,0.14
BOS202209140,68,0.23
BOS202209140,69,0.14
BOS202209140,70,0.25
BOS202209140,71,0.38
BOS202209140,72,0.07
BOS202209140,73,0.09
BOS202209140,74,0.07
BOS202209140,75,0.04
BOS202209140,76,0.03
BOS202209140,77,0.05
BOS202209140,78,0.1
BOS202209140,79,0.06
BOS202209140,80,0.02
CLE200104270,1,0.5
CLE200104270,2,0.46
CLE200104270,3,0.35
CLE200104270,4,0.25
CLE200104270,5,0.26
CLE200104270,6,0.27
CLE200104270,7,0.28
CLE200104270,8,0.26
CLE200104270,9,0.28
CLE200104270,10,0.25
CLE200104270,11,0.26
CLE200104270,12,0.33
CLE200104270,13,0.31
CLE200104270,14,0.33
CLE200104270,15,0.31
CLE200104270,16,0.35
CLE200104270,17,0.33
CLE200104270,18,0.31
CLE200104270,19,0.29
CLE200104270,20,0.21
CLE200104270,21,0.19
CLE200104270,22,0.21
CLE200104270,23,0.23
CLE200104270,24,0.24
CLE200104270,25,0.23
CLE200104270,26,0.2
CLE200104270,27,0.19
CLE200104270,28,0.17
CLE200104270,29,0.15
CLE200104270,30,0.1
CLE200104270,31,0.04
CLE200104270,32,0.04
CLE200104270,33,0.04
CLE200104270,34,0.03
CLE200104270,35,0.03
CLE200104270,36,0.02
CLE200104270,37,0.02
CLE200104270,38,0.03
CLE200104270,39,0.02
CLE200104270,40,0.03
CLE200104270,41,0.05
CLE200104270,42,0.08
CLE200104270,43,0.05
CLE200104270,44,0.1
CLE200104270,45,0.2
CLE200104270,46,0.18
CLE200104270,47,0.19
CLE200104270,48,0.19
CLE200104270,49,0.2
CLE200104270,50,0.27
CLE200104270,51,0.22
CLE200104270,52,0.25
CLE200104270,53,0.33
CLE200104270,54,0.44
CLE200104270,55,0.34
CLE200104270,56,0.23
CLE200104270,57,0.25
CLE200104270,58,0.16
CLE200104270,59,0.16
CLE200104270,60,0.17
CLE200104270,61,0.14
CLE200104270,62,0.12
CLE200104270,63,0.11
CLE200104270,64,0.12
CLE200104270,65,0.13
CLE200104270,66,0.14
CLE200104270,67,0.2
CLE200104270,68,0.16
CLE200104270,69,0.23
CLE200104270,70,0.15
CLE200104270,71,0.16
CLE200104270,72,0.17
CLE200104270,73,0.16
CLE200104270,74,0.15
CLE200104270,75,0.08
CLE200104270,76,0.09
CLE200104270,77,0.07
CLE200104270,78,0.09
CLE200104270,79,0.18
CLE200104270,80,0.27
CLE200104270,81,0.18
CLE200104270,82,0.08
CLE200104270,83,0.09
CLE200104270,84,0.09
CLE200104270,85,0.1
CLE200104270,86,0.05
CLE200104270,87,0.02
NYN201908200,1,0.5
NYN201908200,2,0.52
NYN201908200,3,0.54
NYN201908200,4,0.55
NYN201908200,5,0.53
NYN201908200,6,0.51
NYN201908200,7,0.5
NYN201908200,8,0.52
NYN201908200,9,0.54
NYN201908200,10,0.43
NYN201908200,11,0.42
NYN201908200,12,0.44
NYN201908200,13,0.41
NYN201908200,14,0.44
NYN201908200,15,0.63
NYN201908200,16,0.63
NYN201908200,17,0.61
NYN201908200,18,0.64
NYN201908200,19,0.59
NYN201908200,20,0.63
NYN201908200,21,0.67
NYN201908200,22,0.65
NYN201908200,23,0.68
NYN201908200,24,0.65
NYN201908200,25,0.63
NYN201908200,26,0.58
NYN201908200,27,0.51
NYN201908200,28,0.39
NYN201908200,29,0.45
NYN201908200,30,0.5
NYN201908200,31,0.56
NYN201908200,32,0.53
NYN201908200,33,0.51
NYN201908200,34,0.5
NYN201908200,35,0.53
NYN201908200,36,0.56
NYN201908200,37,0.57
NYN201908200,38,0.53
NYN201908200,39,0.51
NYN201908200,40,0.5
NYN201908200,41,0.54
NYN201908200,42,0.55
NYN201908200,43,0.57
NYN201908200,44,0.55
NYN201908200,45,0.6
NYN201908200,46,0.55
NYN201908200,47,0.82
NYN201908200,48,0.83
NYN201908200,49,0.83
NYN201908200,50,0.86
NYN201908200,51,0.81
NYN201908200,52,0.76
NYN201908200,53,0.83
NYN201908200,54,0.89
NYN201908200,55,0.91
NYN201908200,56,0.93
NYN201908200,57,0.91
NYN201908200,58,0.96
NYN201908200,59,0.97
NYN201908200,60,1
NYN201908200,61,0.99
NYN201908200,62,0.99
NYN201908200,63,1
NYN201908200,64,1
NYN201908200,65,1
NYN201908200,66,1
NYN201908200,67,1
NYN201908200,68,1
NYN201908200,69,1
NYN201908200,70,1
NYN201908200,71,1
NYN201908200,72,1
NYN201908200,73,1
NYN201908200,74,1
BOS199008030,1,0.5
BOS199008030,2,0.47
BOS199008030,3,0.5
BOS199008030,4,0.54
BOS199008030,5,0.59
BOS199008030,6,0.63
BOS199008030,7,0.77
BOS199008030,8,0.87
BOS199008030,9,0.88
BOS199008030,10,0.9
BOS199008030,11,0.94
BOS199008030,12,0.96
BOS199008030,13,0.96
BOS199008030,14,0.95
BOS199008030,15,0.95
BOS199008030,16,0.93
BOS199008030,17,0.94
BOS199008030,18,0.93
BOS199008030,19,0.94
BOS199008030,20,0.95
BOS199008030,21,0.95
BOS199008030,22,0.95
BOS199008030,23,0.94
BOS199008030,24,0.96
BOS199008030,25,0.94
BOS199008030,26,0.95
BOS199008030,27,0.96
BOS199008030,28,0.95
BOS199008030,29,0.95
BOS199008030,30,0.97
BOS199008030,31,0.97
BOS199008030,32,0.97
BOS199008030,33,0.96
BOS199008030,34,0.95
BOS199008030,35,0.97
BOS199008030,36,0.98
BOS199008030,37,0.98
BOS199008030,38,0.98
BOS199008030,39,0.98
BOS199008030,40,0.98
BOS199008030,41,0.99
BOS199008030,42,0.98
BOS199008030,43,0.98
BOS199008030,44,0.98
BOS199008030,45,0.96
BOS199008030,46,0.98
BOS199008030,47,0.98
BOS199008030,48,0.99
BOS199008030,49,0.99
BOS199008030,50,1
BOS199008030,51,1
BOS199008030,52,1
BOS199008030,53,0.99
BOS199008030,54,1
BOS199008030,55,0.99
BOS199008030,56,0.98
BOS199008030,57,0.98
BOS199008030,58,1
BOS199008030,59,0.98
BOS199008030,60,0.99
BOS199008030,61,0.99
BOS199008030,62,0.99
BOS199008030,63,1
BOS199008030,64,1
BOS199008030,65,1
BOS199008030,66,1
BOS199008030,67,1
BOS199008030,68,1
BOS199008030,69,1
BOS199008030,70,1
BOS199008030,71,1
BOS199008030,72,1
BOS199008030,73,1
BOS199008030,74,1
BOS199008030,75,1
BOS199008030,76,1
BOS199008030,77,1
BOS199008030,78,1
BOS199008030,79,1
BOS199008030,80,1
BOS199008030,81,1
BOS199008030,82,1
BOS199008030,83,1
BOS199008030,84,1
BOS199008030,85,1
BOS199008030,86,1
BOS199008030,87,1
BOS199008030,88,1
BOS199008030,89,1
BOS199008030,90,1
HOU198505190,1,0.5
HOU198505190,2,0.53
HOU198505190,3,0.53
HOU198505190,4,0.53
HOU198505190,5,0.54
HOU198505190,6,0.53
HOU198505190,7,0.64
HOU198505190,8,0.65
HOU198505190,9,0.71
HOU198505190,10,0.73
HOU198505190,11,0.74
HOU198505190,12,0.71
HOU198505190,13,0.62
HOU198505190,14,0.63
HOU198505190,15,0.65
HOU198505190,16,0.67
HOU198505190,17,0.64
HOU198505190,18,0.63
HOU198505190,19,0.62
HOU198505190,20,0.58
HOU198505190,21,0.6
HOU198505190,22,0.64
HOU198505190,23,0.51
HOU198505190,24,0.55
HOU198505190,25,0.59
HOU198505190,26,0.51
HOU198505190,27,0.5
HOU198505190,28,0.52
HOU198505190,29,0.55
HOU198505190,30,0.56
HOU198505190,31,0.53
HOU198505190,32,0.51
HOU198505190,33,0.5
HOU198505190,34,0.53
HOU198505190,35,0.55
HOU198505190,36,0.56
HOU198505190,37,0.72
HOU198505190,38,0.78
HOU198505190,39,0.74
HOU198505190,40,0.71
HOU198505190,41,0.72
HOU198505190,42,0.67
HOU198505190,43,0.58
HOU198505190,44,0.44
HOU198505190,45,0.4
HOU198505190,46,0.42
HOU198505190,47,0.54
HOU198505190,48,0.52
HOU198505190,49,0.57
HOU198505190,50,0.54
HOU198505190,51,0.51
HOU198505190,52,0.53
HOU198505190,53,0.57
HOU198505190,54,0.86
HOU198505190,55,0.84
HOU198505190,56,0.87
HOU198505190,57,0.89
HOU198505190,58,0.86
HOU198505190,59,0.9
HOU198505190,60,0.95
HOU198505190,61,0.96
HOU198505190,62,0.95
HOU198505190,63,0.97
HOU198505190,64,0.95
HOU198505190,65,0.96
HOU198505190,66,0.98
HOU198505190,67,0.97
HOU198505190,68,0.98
HOU198505190,69,0.99
HOU198505190,70,0.99
HOU198505190,71,0.99
HOU198505190,72,0.99
HOU198505190,73,0.99
HOU198505190,74,0.99
HOU198505190,75,0.98
HOU198505190,76,0.99
HOU198505190,77,1
SEA202008080,1,0.5
SEA202008080,2,0.52
SEA202008080,3,0.54
SEA202008080,4,0.52
SEA202008080,5,0.55
SEA202008080,6,0.53
SEA202008080,7,0.51
SEA202008080,8,0.5
SEA202008080,9,0.53
SEA202008080,10,0.5
SEA202008080,11,0.53
SEA202008080,12,0.55
SEA202008080,13,0.53
SEA202008080,14,0.51
SEA202008080,15,0.5
SEA202008080,16,0.52
SEA202008080,17,0.55
SEA202008080,18,0.56
SEA202008080,19,0.53
SEA202008080,20,0.51
SEA202008080,21,0.5
SEA202008080,22,0.46
SEA202008080,23,0.49
SEA202008080,24,0.45
SEA202008080,25,0.5
SEA202008080,26,0.56
SEA202008080,27,0.53
SEA202008080,28,0.51
SEA202008080,29,0.5
SEA202008080,30,0.41
SEA202008080,31,0.47
SEA202008080,32,0.45
SEA202008080,33,0.37
SEA202008080,34,0.15
SEA202008080,35,0.17
SEA202008080,36,0.17
SEA202008080,37,0.11
SEA202008080,38,0.12
SEA202008080,39,0.15
SEA202008080,40,0.21
SEA202008080,41,0.1
SEA202008080,42,0.08
SEA202008080,43,0.07
SEA202008080,44,0.08
SEA202008080,45,0.09
SEA202008080,46,0.09
SEA202008080,47,0.04
SEA202008080,48,0.04
SEA202008080,49,0.04
SEA202008080,50,0.05
SEA202008080,51,0.04
SEA202008080,52,0.03
SEA202008080,53,0.04
SEA202008080,54,0.03
SEA202008080,55,0.03
SEA202008080,56,0.04
SEA202008080,57,0.04
SEA202008080,58,0.06
SEA202008080,59,0.03
SEA202008080,60,0.03
SEA202008080,61,0.02
SEA202008080,62,0.02
SEA202008080,63,0.02
SEA202008080,64,0.02
SEA202008080,65,0.02
SEA202008080,66,0.01
SEA202008080,67,0.01
SEA202008080,68,0.01
SEA202008080,69,0.01
SEA202008080,70,0.01
SEA202008080,71,0
SEA202008080,72,0
SEA202008080,73,0
FLO199506080,1,0.5
FLO199506080,2,0.47
FLO199506080,3,0.5
FLO199506080,4,0.48
FLO199506080,5,0.52
FLO199506080,6,0.43
FLO199506080,7,0.44
FLO199506080,8,0.42
FLO199506080,9,0.45
FLO199506080,10,0.54
FLO199506080,11,0.55
FLO199506080,12,0.56
FLO199506080,13,0.5
FLO199506080,14,0.52
FLO199506080,15,0.54
FLO199506080,16,0.53
FLO199506080,17,0.51
FLO199506080,18,0.32
FLO199506080,19,0.31
FLO199506080,20,0.34
FLO199506080,21,0.45
FLO199506080,22,0.42
FLO199506080,23,0.4
FLO199506080,24,0.38
FLO199506080,25,0.36
FLO199506080,26,0.38
FLO199506080,27,0.35
FLO199506080,28,0.39
FLO199506080,29,0.44
FLO199506080,30,0.41
FLO199506080,31,0.39
FLO199506080,32,0.41
FLO199506080,33,0.43
FLO199506080,34,0.56
FLO199506080,35,0.75
FLO199506080,36,0.73
FLO199506080,37,0.66
FLO199506080,38,0.69
FLO199506080,39,0.75
FLO199506080,40,0.73
FLO199506080,41,0.79
FLO199506080,42,0.81
FLO199506080,43,0.79
FLO199506080,44,0.76
FLO199506080,45,0.75
FLO199506080,46,0.78
FLO199506080,47,0.8
FLO199506080,48,0.81
FLO199506080,49,0.8
FLO199506080,50,0.78
FLO199506080,51,0.79
FLO199506080,52,0.92
FLO199506080,53,0.92
FLO199506080,54,0.89
FLO199506080,55,0.94
FLO199506080,56,0.95
FLO199506080,57,0.94
FLO199506080,58,0.94
FLO199506080,59,0.94
FLO199506080,60,0.96
FLO199506080,61,0.94
FLO199506080,62,0.95
FLO199506080,63,0.94
FLO199506080,64,0.97
FLO199506080,65,0.97
FLO199506080,66,0.96
FLO199506080,67,0.97
FLO199506080,68,0.98
FLO199506080,69,0.96
FLO199506080,70,0.98
FLO199506080,71,0.99
FLO199506080,72,0.99
FLO199506080,73,0.99
FLO199506080,74,0.99
FLO199506080,75,0.99
FLO199506080,76,0.98
FLO199506080,77,0.98
FLO199506080,78,0.96
FLO199506080,79,0.99
FLO199506080,80,1
SDN202208022,1,0.5
SDN202208022,2,0.47
SDN202208022,3,0.49
SDN202208022,4,0.52
SDN202208022,5,0.51
SDN202208022,6,0.39
SDN202208022,7,0.31
SDN202208022,8,0.34
SDN202208022,9,0.38
SDN202208022,10,0.43
SDN202208022,11,0.52
SDN202208022,12,0.54
SDN202208022,13,0.54
SDN202208022,14,0.5
SDN202208022,15,0.44
SDN202208022,16,0.48
SDN202208022,17,0.51
SDN202208022,18,0.55
SDN202208022,19,0.52
SDN202208022,20,0.55
SDN202208022,21,0.52
SDN202208022,22,0.5
SDN202208022,23,0.52
SDN202208022,24,0.54
SDN202208022,25,0.52
SDN202208022,26,0.55
SDN202208022,27,0.53
SDN202208022,28,0.56
SDN202208022,29,0.53
SDN202208022,30,0.5
SDN202208022,31,0.53
SDN202208022,32,0.5
SDN202208022,33,0.53
SDN202208022,34,0.51
SDN202208022,35,0.47
SDN202208022,36,0.55
SDN202208022,37,0.63
SDN202208022,38,0.58
SDN202208022,39,0.54
SDN202208022,40,0.5
SDN202208022,41,0.53
SDN202208022,42,0.55
SDN202208022,43,0.53
SDN202208022,44,0.51
SDN202208022,45,0.57
SDN202208022,46,0.53
SDN202208022,47,0.51
SDN202208022,48,0.5
SDN202208022,49,0.54
SDN202208022,50,0.55
SDN202208022,51,0.57
SDN202208022,52,0.54
SDN202208022,53,0.52
SDN202208022,54,0.5
SDN202208022,55,0.44
SDN202208022,56,0.49
SDN202208022,57,0.59
SDN202208022,58,0.55
SDN202208022,59,0.52
SDN202208022,60,0.54
SDN202208022,61,0.58
SDN202208022,62,0.62
SDN202208022,63,0.5
SDN202208022,64,0.55
SDN202208022,65,0.58
SDN202208022,66,0.6
SDN202208022,67,0.55
SDN202208022,68,0.52
SDN202208022,69,0.5
SDN202208022,70,0.56
SDN202208022,71,0.6
SDN202208022,72,0.63
SDN202208022,73,0.57
